'008000003970038046004061987329000000050000060800000090200007408003002610641085070','78551672112789411833022577315290546060373041','1','1','1','168794523972538146534261987329176854457829361816453792295617438783942615641385279','20944'
'500000000000000495030010060080040002902006540000000001240039070700108000806400300','375710212613636260325580163599137907799836383538729','1','1','1','567894123128673495439215768685741932912386547374952681241539876793168254856427319','20944'
'000060038002008090050030060100000080678390500009801006001523070003406002000000000','4638397686588101979328150167890591454318967698009','1','1','1','917265438362748195854139267145672983678394521239851746481523679793416852526987314','21943'
'000009000090860430000000160009020857780050000102000000000070040068003070004000080','30432527221704537086371993251530170531786747066637049','1','1','1','613549728297861435845732169439126857786954312152387694921678543568493271374215986','22937'
'300000900501000006000300070080100002405000000217000065700802000000000200003704018','30432527221704537086371993251530170531786747066637049','1990656','1990656','663552','364587921571429836892361574689135742435276189217948365756812493148693257923754618','25931'
'400020139000000680006080000005300010941000005003010900014590207000000000820700400','41745579179292917813953351511015323088870709282081','1','1','1','458627139792153684136984572285349716941876325673215948314598267567432891829761453','27921'
'005600017400000250070000600001030560000000002560080970750006000040070005028900030','41745579179292917813953351511015323088870709282081','1','1','1','895642317416397258372518649281739564937465182564281973753826491649173825128954736','22943'
'000890000000000174006000000005020000073600980900070450700050230804700010000100000','30432527221704537086371993251530170531786747066637049','1','1','1','317894526589263174426517893145928367273645981968371452791456238854732619632189745','23964'
'028000300006078925000000000712304000000059010500000003000000072693200100000041600','41745579179292917813953351511015323088870709282081','1','1','1','128495367346178925975623481712364598834759216569812743451936872693287154287541639','23937'
'000000000030040070865900000004097201309800000000030050090100080002000040400000620','273892744995340833777347939263771534786080723599733441','1','1','1','247581396931246875865973412584697231329815764176432958693124587752368149418759623','23948'
'010004008002000000009000320174080000306000000020006050000807040205040700003501800','3381391913522726342930221472392241170198527451848561','1','1','1','517234698832169475469758321174985236356412987928376154691827543285643719743591862','22898'
'052008009007900000900700452009060030020800000745100000000031908000500020004000000','3381391913522726342930221472392241170198527451848561','1','1','1','152348769467952381938716452819467235623895174745123896576231948391584627284679513','23933'
'040800000602030040009605080590400102000008007000062000000000900400000600007050034','30432527221704537086371993251530170531786747066637049','1','1','1','345829716682731549179645283598473162264198357731562498826314975453987621917256834','24934'
'007008000058000291000000678809040005200056107000010000300580040700000009006004000','375710212613636260325580163599137907799836383538729','1','1','1','967128453458637291132495678819742365243956187675813924321589746784261539596374812','23936'
'853027000000350000100086200340000050006010020500243608920074103600000000008000507','6362685441135942358474828762538534230890216321','1','1','1','853927416264351789179486235342768951786519324591243678925874163637195842418632597','24933'
'000709000900800040006001003000253007300040060000180000062000314000000000451002600','3381391913522726342930221472392241170198527451848561','570630428688384','213986410758144','1','124739856937865241586421973649253187318947562275186439762598314893614725451372698','30915'
'003006270000001000400350089001042006000183500800005020000000062060500010040069000','41745579179292917813953351511015323088870709282081','1','1','1','583496271976821345412357689751942836624183597839675124395718462267534918148269753','24933'
'504000000008300070600090024000705800400000003007000500800000060046021007005003200','30432527221704537086371993251530170531786747066637049','1','1','1','594172638128364975673598124369715842451286793287439516832957461946821357715643289','26931'
'000630008000000020830000504000000050004106070210007030408300060000000007759800240','375710212613636260325580163599137907799836383538729','1','1','1','942635718571948326836712594687293451394156872215487639428379165163524987759861243','28920'
'050001200000000001006500000030090000009000007084060010020030000000009502000704609','22185312344622607535965183080365494317672538611578408721','663552','1','1','453971268892346751176582493531497826269158347784263915928635174647819532315724689','37899'
'080000000015300000000782010608200500047005008200019400000060003009000000070000060','273892744995340833777347939263771534786080723599733441','1','1','1','982156347715394682436782915698247531147635298253819476824961753369578124571423869','40892'
'071005006903000000026100004700000590014000000000600000500080009000437010000906008','30432527221704537086371993251530170531786747066637049','1','1','1','471825936953764182826193754768342591214579863395618427537281649689437215142956378','54851'
'040000020201900080900050000700000001008100000000400005004030009000517602006004100','273892744995340833777347939263771534786080723599733441','1','1','1','345781926261943587987652314752368491498175263613429875124836759839517642576294138','31915'
